Factors,Max_drawdown,Market Cap
tot_rank1,-0.026365844724324357,1.4153412724929455
tot_rank2,-0.03243530555111102,1.3146790812488713
tot_rank3,-0.0317879555666666,1.4356435996654286
tot_rank4,-0.029172519977777766,1.407444216898043
tot_rank5,-0.027618126022222207,1.667726573390927
tot_rank6,-0.03564733355111124,1.4504958837060384
tot_rank7,-0.027073470288888773,1.3783831808418667
tot_rank8,-0.025097261226666615,1.4477715869786045
tot_rank9,-0.02945347527333328,1.3777057882717365
tot_rank10,-0.024157102999999926,1.2708095850497187
tot_rank11,-0.030061603845454577,1.0760246865694594
tot_rank12,-0.02604916736888881,1.0898877844931936
tot_rank13,-0.024875463209090957,1.2403350285929005
tot_rank14,-0.03569936966666664,1.6867873629206436
tot_rank15,-0.032879610610810885,1.9392001997092154
tot_rank16,-0.040465206729729794,1.4807300485750476
tot_rank17,-0.02945347527333328,1.3777057882717365
tot_rank18,-0.027618126022222207,1.667726573390927
tot_rank19,-0.029172519977777766,1.407444216898043
tot_rank20,-0.03057645022666671,1.3801574019450975
tot_rank21,-0.03243530555111102,1.3146790812488713
tot_rank22,-0.026365844724324357,1.4153412724929455
tot_rank23,-0.027073470288888773,1.3783831808418667
tot_rank24,-0.024157102999999926,1.2708095850497187
tot_rank25,-0.02604916736888881,1.0898877844931936
tot_rank26,-0.032879610610810885,1.9392001997092154
tot_rank27,-0.02741360117027021,1.6410307176578276
tot_rank28,-0.03569936966666664,1.6867873629206436
tot_rank29,-0.03349157855555544,1.7219120100485612
tot_rank30,-0.02741360117027021,1.6410307176578276
tot_rank31,-0.026679748037777843,1.4082563417002805
tot_rank32,-0.030611663153333305,1.1341512068311304
tot_rank33,-0.029350383551111033,1.0596700700754027
tot_rank34,-0.02886318743333343,1.6692375510750788
tot_rank35,-0.03390577207333329,1.7140249269268129
tot_rank36,-0.02718973416000001,1.525799576746799
tot_rank37,-0.030716039097777776,1.4703885089543403
tot_rank38,-0.02686418760000003,1.5260206292499399
tot_rank39,-0.03320744266666659,1.7863616333526302
tot_rank40,-0.03339347251111108,1.7699954764718775
tot_rank42,-0.031449037333333416,1.7237305985900673
tot_rank43,-0.03095768171555556,1.8244523159405261
tot_rank44,-0.03317010968888893,1.4565745290474061
tot_rank45,-0.042433042666666684,1.5418324378445574
tot_rank46,-0.039898499666666684,1.6951772869150097
tot_rank47,-0.034648489199999924,1.935401983178362
tot_rank48,-0.03279442398888891,1.734536601716781
tot_rank49,-0.029074092239999978,1.072124407119132
tot_rank50,-0.05319732833333331,1.8028863440253249
tot_rank51,-0.026534491666666642,1.7987442793743234
tot_rank52,-0.02776082611111104,1.5684993104301828
tot_rank53,-0.03898225899999993,1.6971154917058355
tot_rank54,-0.03898225899999993,1.9443239693906715
tot_rank55,-0.02718349770444445,1.4400104342985065
tot_rank56,-0.03898225899999993,1.836782866282365
tot_rank57,-0.029776751318918934,1.5699544134775516
tot_rank58,-0.031532796666666627,1.7685715868435705
tot_rank59,-0.030805853817777742,1.4896194474946405
tot_rank60,-0.031979041940000084,1.546489770566848
